MJD;Year;Month;Day;Type;x_pole;sigma_x_pole;y_pole;sigma_y_pole;x_rate;sigma_x_rate;y_rate;sigma_y_rate;Type;UT1-UTC;sigma_UT1-UTC;LOD;sigma_LOD;Type;dPsi;sigma_dPsi;dEpsilon;sigma_dEpsilon;dX;sigma_dX;dY;sigma_dY
45700.50;1984;01;01;;-0.134064;0.001250;0.093057;0.000992;0.034912;0.001226;-0.041530;0.000991;;0.3968898;0.0002417;0.0014139;0.0000730;;;;;;0.002255;0.000349;-0.002791;0.000351
45701.50;1984;01;02;;-0.136239;0.001201;0.096494;0.000990;0.034788;0.001203;-0.041499;0.000990;;0.3955314;0.0002417;0.0013168;0.0000730;;;;;;0.001470;0.000349;-0.001946;0.000351
45702.50;1984;01;03;;-0.139537;0.001156;0.099240;0.000987;0.034035;0.001165;-0.041884;0.000988;;0.3942317;0.0002417;0.0012952;0.0000730;;;;;;0.000860;0.000349;-0.001281;0.000351
45703.50;1984;01;04;;-0.143743;0.001129;0.101176;0.000986;0.032852;0.001110;-0.042992;0.000993;;0.3929177;0.0002417;0.0013437;0.0000730;;;;;;0.000406;0.000349;-0.000780;0.000351
45704.50;1984;01;05;;-0.148590;0.001063;0.101264;0.000998;0.032322;0.001136;-0.042851;0.000979;;0.3915251;0.0002417;0.0014502;0.0000729;;;;;;0.000093;0.000351;-0.000427;0.000352
45705.50;1984;01;06;;-0.151394;0.001144;0.104927;0.000973;0.032026;0.001148;-0.042542;0.000972;;0.3900043;0.0002417;0.0015965;0.0000726;;;;;;-0.000097;0.000368;-0.000203;0.000359
45706.50;1984;01;07;;-0.153162;0.001233;0.109486;0.000945;0.031313;0.001148;-0.042989;0.000931;;0.3883270;0.0002417;0.0017591;0.0000721;;;;;;-0.000179;0.000395;-0.000093;0.000370
45707.50;1984;01;08;;-0.155200;0.001152;0.112946;0.000889;0.030267;0.001139;-0.043401;0.000880;;0.3864894;0.0002417;0.0019132;0.0000716;;;;;;-0.000173;0.000425;-0.000079;0.000382
45708.50;1984;01;09;;-0.157800;0.001045;0.115832;0.000816;0.029176;0.001066;-0.043217;0.000829;;0.3845110;0.0002417;0.0020371;0.0000712;;;;;;-0.000093;0.000445;-0.000145;0.000391
45709.50;1984;01;10;;-0.160851;0.000980;0.118432;0.000770;0.028188;0.001054;-0.042946;0.000825;;0.3824310;0.0002417;0.0021143;0.0000712;;;;;;0.000043;0.000457;-0.000273;0.000398
45710.50;1984;01;11;;-0.163814;0.001063;0.121037;0.000835;0.027569;0.001068;-0.043207;0.000839;;0.3803018;0.0002417;0.0021339;0.0000717;;;;;;0.000217;0.000481;-0.000447;0.000421
45711.50;1984;01;12;;-0.165961;0.001156;0.123889;0.000909;0.027545;0.001143;-0.044075;0.000899;;0.3781855;0.0002417;0.0020873;0.0000726;;;;;;0.000414;0.000522;-0.000649;0.000462
45712.50;1984;01;13;;-0.166976;0.001223;0.127234;0.000963;0.028175;0.001195;-0.044826;0.000970;;0.3761501;0.0002417;0.0019723;0.0000736;;;;;;0.000617;0.000570;-0.000863;0.000508
45713.50;1984;01;14;;-0.166969;0.001234;0.131435;0.001031;0.028363;0.001235;-0.045465;0.001020;;0.3742599;0.0002417;0.0018003;0.0000744;;;;;;0.000807;0.000605;-0.001071;0.000543
45714.50;1984;01;15;;-0.168523;0.001247;0.134780;0.001077;0.027456;0.001255;-0.045994;0.001037;;0.3725578;0.0002417;0.0016030;0.0000750;;;;;;0.000872;0.000620;-0.001185;0.000557
45715.50;1984;01;16;;-0.173070;0.001277;0.136189;0.001043;0.026187;0.001257;-0.046096;0.001057;;0.3710440;0.0002417;0.0014321;0.0000760;;;;;;0.000587;0.000625;-0.001034;0.000554
45716.50;1984;01;17;;-0.177265;0.001268;0.138593;0.001037;0.024497;0.001261;-0.046696;0.001032;;0.3696615;0.0002417;0.0013521;0.0000781;;;;;;0.000248;0.000635;-0.000834;0.000549
45717.50;1984;01;18;;-0.180971;0.001245;0.141486;0.001022;0.023093;0.001230;-0.047733;0.001012;;0.3682958;0.0002417;0.0014012;0.0000823;;;;;;-0.000107;0.000655;-0.000606;0.000539
45718.50;1984;01;19;;-0.184007;0.001192;0.144718;0.000988;0.022224;0.001171;-0.048099;0.000974;;0.3668181;0.0002417;0.0015719;0.0000890;;;;;;-0.000443;0.000682;-0.000375;0.000525
