Year;Month;Day;Time;MJD;Mass_X;Mass_Y;Mass_Z;Motion_X;Motion_Y;Motion_Z
1980;01;02;00:00:00;44240.00;-7.15354721E+00;3.51225401E+00;-8.73251605E-03;-7.57252560E+00;1.95267527E+00;9.70500079E-03
1980;01;03;00:00:00;44241.00;-1.51691513E+01;6.61410109E+00;-1.18980839E-02;-1.36968833E+01;1.25422310E+00;1.73072229E-02
1980;01;04;00:00:00;44242.00;-1.55745840E+01;4.70538263E+00;-1.74330165E-02;-3.75570983E+00;7.18144050E+00;1.34970142E-02
1980;01;05;00:00:00;44243.00;-1.17080172E+01;4.91517103E+00;-1.27907177E-02;-1.99930471E+00;5.22579243E+00;1.76757008E-02
1980;01;06;00:00:00;44244.00;-1.02820339E+01;6.61837188E+00;-4.81564475E-03;-1.03388208E+01;9.22890761E-01;2.11490087E-02
1980;01;07;00:00:00;44245.00;-9.72930440E+00;5.42209728E+00;-8.21892550E-04;-1.57632644E+01;-5.63406354E+00;2.42970429E-02
1980;01;08;00:00:00;44246.00;-1.08062218E+01;-4.84323812E+00;-3.79011765E-03;-7.46428048E+00;-3.54914795E+00;2.16203765E-02
1980;01;09;00:00:00;44247.00;-1.52291284E+01;-8.19621710E+00;-7.92861235E-03;-6.79578163E+00;-5.58136923E+00;2.61361417E-02
1980;01;10;00:00:00;44248.00;-1.34148008E+01;-9.48852402E+00;-1.93406725E-03;-9.17381840E+00;-1.10156576E+01;3.16579444E-02
1980;01;11;00:00:00;44249.00;-1.54072532E+01;-6.39917520E+00;-3.45726365E-03;-2.67454975E+01;-1.61730976E+01;2.42053064E-02
1980;01;12;00:00:00;44250.00;-2.19380560E+01;-2.56564642E+00;-2.65917385E-03;-1.67655008E+01;-1.59895722E+00;2.59141896E-02
1980;01;13;00:00:00;44251.00;-2.05376388E+01;-1.27469616E-01;-2.04746425E-03;-5.10306800E+00;-1.70087380E+00;1.16651908E-02
1980;01;14;00:00:00;44252.00;-1.45980288E+01;3.14242520E+00;1.17417805E-02;2.07383652E+00;5.54844910E-01;4.93539183E-03
1980;01;15;00:00:00;44253.00;-1.07989190E+01;5.23549306E+00;1.28445861E-02;-3.23912294E+00;-4.77975693E+00;3.05049539E-04
1980;01;16;00:00:00;44254.00;-1.06204879E+01;9.34587742E+00;5.88444825E-03;6.43529025E+00;-4.30083899E-02;1.09406955E-02
1980;01;17;00:00:00;44255.00;-6.69131169E+00;1.09255138E+01;-5.69961252E-04;5.38199073E+00;-4.36933619E+00;1.48172322E-02
1980;01;18;00:00:00;44256.00;-1.07368955E+01;8.63196508E+00;-9.65209249E-04;-2.29451647E+00;-1.93249687E+00;1.38302748E-02
1980;01;19;00:00:00;44257.00;-1.63776562E+01;-3.52998386E-01;4.17215775E-03;-2.08179611E+00;-7.76197618E-01;1.93536094E-02
1980;01;20;00:00:00;44258.00;-1.10439349E+01;8.24108934E-01;3.53395185E-03;1.81630313E+00;-5.40150552E+00;2.80928034E-02
1980;01;21;00:00:00;44259.00;-5.30117092E+00;3.36982361E+00;3.73444475E-03;-3.56706618E+00;-4.28338845E+00;2.54858249E-02
1980;01;22;00:00:00;44260.00;2.71255997E-01;-1.88448348E+00;1.06025685E-02;1.43663103E+00;-1.08274591E+00;1.66859865E-02
1980;01;23;00:00:00;44261.00;1.75017742E+00;-3.55284492E+00;3.96186595E-03;6.24993173E+00;-2.98546158E-01;2.13321852E-03
1980;01;24;00:00:00;44262.00;-1.81265412E+00;-5.29449486E+00;-1.25266153E-02;-4.00297182E+00;1.35759257E+00;-8.89962590E-03
1980;01;25;00:00:00;44263.00;-1.25746371E+00;-7.48605098E+00;-2.05505699E-02;-7.17536772E+00;1.35800673E+00;-1.27876511E-02
1980;01;26;00:00:00;44264.00;-6.49956836E+00;-1.35083836E+01;-1.74317740E-02;-8.55240337E+00;1.26050184E+00;-1.74490796E-04
1980;01;27;00:00:00;44265.00;-1.55333876E+01;-2.02516478E+01;-2.22315294E-02;-2.04570349E+01;-5.38037400E+00;7.45422435E-03
1980;01;28;00:00:00;44266.00;-2.17612807E+01;-1.43243521E+01;-3.12665972E-02;-2.20708691E+01;-1.31376949E+00;1.27248892E-02
1980;01;29;00:00:00;44267.00;-2.63594210E+01;-6.94144861E+00;-2.97108368E-02;-1.39619057E+01;-5.19341378E-01;1.09812085E-02
